PEP 279 | draft| say | It says pretty much what we mean number these items , i e. assign a number to each one .|It says pretty much what we mean number these items , i e. assign a number to each one .
PEP 429 | accepted| reviewing | Reliability considerations 408,44 413,49 If this PEP is accepted, the proposed time frame for integration of pip into the CPython release is as follows|However , the core CPython team will also assist with reviewing and resolving the ` certificate update management issue < https://github.com/kennethreitz/requests/issues/1659 > ` __ currently affecting the `` requests `` project -LRB- and hence `` pip `` -RRB- -LSB- #cert - verification -RSB- _ .
PEP 429 | accepted| issues | Reliability considerations 408,44 413,49 If this PEP is accepted, the proposed time frame for integration of pip into the CPython release is as follows|However , the core CPython team will also assist with reviewing and resolving the ` certificate update management issue < https://github.com/kennethreitz/requests/issues/1659 > ` __ currently affecting the `` requests `` project -LRB- and hence `` pip `` -RRB- -LSB- #cert - verification -RSB- _ .
PEP 431 | wrote_pep| interest | I wrote PEP 431 two years ago, and never got around to implement it.|Anyone interested in a session on this , mail me and we 'll set up a time and place !
PEP null | | reason | |As Alexander says , you can reduce the amount of assumed knowledge needed to understand the API by focusing on the ambiguity resolution directly without assuming that the reason for the ambiguity is end of DST period .
PEP null | | reason | |Due to various reasons , local time offsets relative to UTC may change , thus repeating certain subsets of local time 2 .
PEP null | | reason | |As Alexander says , you can reduce the amount of assumed knowledge needed to understand the API by focusing on the ambiguity resolution directly without assuming that the reason for the ambiguity is end of DST period .
PEP null | | say | |As Alexander says , you can reduce the amount of assumed knowledge needed to understand the API by focusing on the ambiguity resolution directly without assuming that the reason for the ambiguity is end of DST period .
PEP null | | say | |As Alexander says , you can reduce the amount of assumed knowledge needed to understand the API by focusing on the ambiguity resolution directly without assuming that the reason for the ambiguity is end of DST period .
PEP null | | say | |In addition , it would be nice to able to say that going back and forth between aware and naive datetimes is evil and you should never do it , but it 's a necessity if you want to be able to implement relative timedeltas in some form .
PEP null | | withdrawn | |Closing this since the PEP has been withdrawn .
PEP 433 | updated| feedback | Thanks for your feedback, I already updated the PEP for most of your remarks.|Thanks for your feedback , I already updated the PEP for most of your remarks .
PEP 433 | updated| feedback | Thanks for your feedback, I already updated the PEP for most of your remarks.|Thanks for your feedback , I already updated the PEP for most of your remarks .
PEP 433 | updated| feedback | Thanks for your feedback, I already updated the PEP for most of your remarks.|Thanks for your feedback , I already updated the PEP for most of your remarks .
PEP 433 | updated| feedback | Thanks for your feedback, I already updated the PEP for most of your remarks.|Thanks for your feedback , I already updated the PEP for most of your remarks .
PEP 433 | updated| reason | I updated the rationale of the PEP to describe the close on exec flag http www python org dev peps pep 0433 rationale|For the name of the new parameter , I still prefer `` cloexec '' for the reason given by Antoine : on UNIX , the flag has only an effect on exec -LRB- -RRB- , not on fork -LRB- -RRB- .
PEP 433 | updated| reason | I updated the rationale of the PEP to describe the close on exec flag http www python org dev peps pep 0433 rationale|For the name of the new parameter , I still prefer `` cloexec '' for the reason given by Antoine : on UNIX , the flag has only an effect on exec -LRB- -RRB- , not on fork -LRB- -RRB- .
PEP 434 | updated| say | However, the feature will not be removed until issue 18823 is resolved.|The entries are disorganized , unfiltered , duplicated , tied to specific patches rather than user topics , begin with * unlinked * issue numbers , and say too little for the user .
