PEP 318 | proposal | discussion | My humble hope is that this document helps to improve the quality of the ongoing discussion . | Knowing we want something ' , but not spelling it out . | 2 .
PEP 348 | null | discussion | The PEP evolution and discussion are still continuing in August , and since this is for Python 3.0 , are likely to be considered open for some time yet . | The PEP contains the current status for each of these exceptions . | . .
PEP 348 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 348 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 348 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 348 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 348 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 348 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 348 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 348 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 348 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 348 | null | discussion | There was a brief discussion about consistency between this proposal and the operator module 's itemgetter and attrgetter which , unlike Martin 's proposal , use argument strings instead of attributes to determine the appropriate function to produce . | where the virtual '' object would serve as a virtual instance so that the self '' argument to the lower '' method could be supplied later . | 
PEP 348 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
PEP 348 | null | feedback | There was a little feedback on the proposal , with a few people wanting to go back to the text builtin instead of changing str , but no final decisions were made . | Otherwise subclasses of unicode would likely get UnicodeEncodeErrors when their str methods were called . | 
